source,target,weight,count
72,38,10000,0
72,73,10000,0
72,74,10000,0
72,94,10000,0
73,16,10000,0
73,36,10000,0
73,38,10000,0
73,58,10000,0
73,67,10000,0
73,72,10000,0
73,78,10000,0
73,86,10000,0
73,94,10000,0
74,72,10000,0
74,78,10000,0
74,79,10000,0
75,57,10000,0
75,70,10000,0
75,76,10000,0
75,77,10000,0
75,78,10000,0
75,95,10000,0
75,97,10000,0
76,75,10000,0
76,77,10000,0
76,78,10000,0
77,75,10000,0
77,76,10000,0
77,78,10000,0
77,80,10000,0
78,16,10000,0
78,36,10000,0
78,58,10000,0
78,67,10000,0
78,73,10000,0
78,74,10000,0
78,75,10000,0
78,76,10000,0
78,77,10000,0
78,79,10000,0
78,86,10000,0
79,32,10000,0
79,33,10000,0
79,34,10000,0
79,37,10000,0
79,38,10000,0
79,60,10000,0
79,74,10000,0
79,78,10000,0
80,1,10000,0
80,77,10000,0
81,29,10000,0
81,66,10000,0
81,82,10000,0
81,83,10000,0
81,84,10000,0
82,29,10000,0
82,81,10000,0
82,83,10000,0
82,84,10000,0
83,29,10000,0
83,66,10000,0
83,81,10000,0
83,82,10000,0
83,84,10000,0
84,29,10000,0
84,56,10000,0
84,81,10000,0
84,82,10000,0
84,83,10000,0
85,0,10000,0
85,6,10000,0
85,31,10000,0
85,34,10000,0
85,64,10000,0
86,16,10000,0
86,32,10000,0
86,36,10000,0
86,58,10000,0
86,67,10000,0
86,73,10000,0
86,78,10000,0
87,4,10000,0
87,5,10000,0
87,21,10000,0
87,25,10000,0
88,42,10000,0
89,41,10000,0
89,47,10000,0
89,48,10000,0
89,94,10000,0
90,0,10000,0
90,1,10000,0
90,35,10000,0
90,44,10000,0
90,91,10000,0
90,95,10000,0
90,97,10000,0
91,0,10000,0
91,1,10000,0
91,35,10000,0
91,44,10000,0
91,66,10000,0
91,90,10000,0
91,97,10000,0
92,3,10000,0
92,40,10000,0
92,46,10000,0
92,47,10000,0
92,96,10000,0
92,101,10000,0
93,4,10000,0
93,13,10000,0
93,22,10000,0
93,23,10000,0
94,2,10000,0
