id,latitude,longitude,street_name,street_counter
90,43.7163187,10.3974748,Lungarno Antonio Pacinotti; Piazza Francesco Carrara,2
91,43.7166222,10.4002481,Lungarno Antonio Pacinotti; Vicolo del Tidi,2
92,43.7206142,10.3899247,Largo Lucio Lazzarino; Via Diotisalvi,2
93,43.7235875,10.3985304,Via San Ranierino; Via Contessa Matilde,2
94,43.7189718,10.3899712,Via Risorgimento; Via Bonanno Pisano; Via Carlo Francesco Gabba,3
95,43.7167129,10.3973467,Piazza Francesco Carrara; Via San Nicola,2
96,43.7203357,10.3908775,Via Bonanno Pisano; Via Diotisalvi,2
97,43.7161352,10.3966029,Lungarno Antonio Pacinotti; Via Santa Maria,2
98,43.7190682,10.3999712,Via San Frediano; Piazza dei Cavalieri,2
99,43.7220093,10.3983839,Via Ferdinando Capponi; Piazza dell'Arcivescovado,2
100,43.7222385,10.3977108,Piazza dell'Arcivescovado; Via Don Gaetano Boschi,2
101,43.7211679,10.3880796,Via Diotisalvi; Via Ape al Bocconcino,2
