latitude,longitude,tags,street_name,street_counter
43.7198919,10.3929772,"{'access:lanes': 'yes|hospital', 'highway': 'residential', 'lanes': '2', 'maxspeed': '30', 'name': 'Via Paolo Savi', 'name:etymology:wikidata': 'Q2356835', 'oneway': 'yes', 'surface': 'asphalt'}","Via Paolo Savi, Via Nicola Pisano",2
43.7181988,10.3925435,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Risorgimento', 'name:etymology:wikidata': 'Q51122', 'surface': 'asphalt', 'wikidata': 'Q122619368'}","Via Risorgimento, Via Nicola Pisano",2
43.720987,10.3886822,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Cimabue', 'name:etymology:wikidata': 'Q15790', 'oneway': 'yes', 'parking:both': 'lane', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Diotisalvi, Via Cimabue",2
43.7196471,10.3879154,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Cimabue', 'name:etymology:wikidata': 'Q15790', 'oneway': 'yes', 'parking:both': 'lane', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Carlo Francesco Gabba, Via Cimabue",2
43.7198206,10.3989136,"{'foot': 'designated', 'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via dei Mille', 'name:etymology:wikidata': 'Q228284', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'right', 'sidewalk:right:surface': 'asphalt', 'smoothness': 'intermediate', 'surface': 'asphalt'}","Piazza Francesco Buonamici, Via dei Mille, Via Corsica, Via Uguccione della Faggiola",4
43.7199116,10.3977601,"{'foot': 'designated', 'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via dei Mille', 'name:etymology:wikidata': 'Q228284', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'right', 'sidewalk:right:surface': 'asphalt', 'smoothness': 'intermediate', 'surface': 'asphalt'}","Via dei Mille, Piazza Felice Cavallotti",2
43.7166398,10.3998939,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'moped': 'yes', 'motorcycle': 'yes', 'motor_vehicle': 'designated', 'name': 'Via Curtatone e Montanara', 'name:etymology:wikidata': 'Q3636414', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Lungarno Antonio Pacinotti, Via Curtatone e Montanara",2
43.7177108,10.3998677,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'moped': 'yes', 'motorcycle': 'yes', 'motor_vehicle': 'designated', 'name': 'Via Curtatone e Montanara', 'name:etymology:wikidata': 'Q3636414', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Piazza San Frediano, Via Domenico Cavalca, Via Curtatone e Montanara",3
43.7207913,10.389332,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Largo Lucio Lazzarino', 'oneway': 'yes', 'parking:both': 'lane', 'parking:both:orientation': 'diagonal', 'source': 'PCN aerial 2006', 'surface': 'asphalt'}","Largo Lucio Lazzarino, Via Diotisalvi",2
43.7205101,10.3895106,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Largo Lucio Lazzarino', 'oneway': 'yes', 'parking:both': 'lane', 'parking:both:orientation': 'diagonal', 'source': 'PCN aerial 2006', 'surface': 'asphalt'}","Largo Lucio Lazzarino, Via Francesco Traini",2
43.7196,10.3997925,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Corsica', 'name:etymology:wikidata': 'Q14112', 'oneway': 'yes', 'sidewalk': 'right', 'surface': 'paving_stones'}","Piazza dei Cavalieri, Via Corsica",2
43.718127,10.3969295,"{'highway': 'residential', 'lit': 'yes', 'name': 'Via Alessandro Volta', 'name:etymology:wikidata': 'Q680', 'oneway': 'yes', 'surface': 'paving_stones'}","Via Santa Maria, Via Alessandro Volta",2
43.7185764,10.3954069,"{'highway': 'residential', 'lit': 'yes', 'name': 'Via Alessandro Volta', 'name:etymology:wikidata': 'Q680', 'oneway': 'yes', 'surface': 'paving_stones'}","Via Roma, Via Alessandro Volta, Via Derna",3
43.7193247,10.3929429,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Derna', 'oneway': 'yes', 'surface': 'asphalt'}","Via Nicola Pisano, Via Derna",2
43.7184888,10.3882776,"{'highway': 'residential', 'name': 'Via Turino Vanni', 'name:etymology:wikidata': 'Q3542305', 'parking:both': 'street_side', 'parking:both:fee': 'yes', 'parking:both:orientation': 'parallel'}","Via Turino Vanni, Via Spinello Aretino",2
43.7201818,10.3990435,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Dalmazia', 'name:etymology:wikidata': 'Q528042', 'oneway': 'yes', 'oneway:bicycle': 'no', 'surface': 'asphalt'}","Via Dalmazia, Via Uguccione della Faggiola",2
43.7166748,10.3970962,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via San Niccola', 'oneway': 'yes'}","Via San Niccola, N/A",2
43.7215349,10.3957813,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Angelo Galli Tassi', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'left', 'surface': 'asphalt'}","Via Angelo Galli Tassi, Via Roma",2
43.7215057,10.3966777,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Angelo Galli Tassi', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'left', 'surface': 'asphalt'}","Via Angelo Galli Tassi, Via Porta Buozzi",2
